2026-01-14 22:09:20|SỬA|DC Bình Đức (Long An) → Cảng An Ngãi (BRVT)|166 km|Chỉnh lại|Cũ: 74,DC (Bình Đức-Long An),Cảng An Ngãi (BRVT),166
2026-01-14 22:10:19|SỬA|Cảng Phú Quang → Cảng Tổng Hợp (Thị Vải)|130 km|Chỉnh lại|Cũ: 79,Cảng Phú Quang,Cảng Tổng Hợp Thị Vải,130
2026-01-14 22:11:27|SỬA|Cảng Tổng Hợp (Thị Vải) → Cảng AHT (Bình Dương)|120 km|Chỉnh lại|Cũ: 132,Cảng Tổng Hợp Thị Vải,Cảng AHT (Bình Dương),120
2026-01-14 22:12:02|SỬA|Cảng Tổng Hợp (Thị Vải) → Cảng Thạnh Phước|105 km|Chỉnh lại|Cũ: 133,Cảng Tổng Hợp Thị Vải,Cảng Thạnh Phước,105
2026-01-14 22:12:30|SỬA|Cảng Tổng Hợp (Thị Vải) → Phao Gò Gia|15 km|Chỉnh lại|Cũ: 134,Cảng Tổng Hợp Thị Vải,Phao Gò Gia,15
2026-01-14 22:12:54|SỬA|Cảng Tổng Hợp (Thị Vải) → Cảng Thường Tân (BD)|126 km|Chỉnh lại|Cũ: 135,Cảng Tổng Hợp Thị Vải,Cảng Thường Tân (BD),126
2026-01-14 22:13:34|SỬA|Cảng Bảo Toàn → Cảng Tổng Hợp (Thị Vải)|7 km|Chỉnh lại|Cũ: 211,Cảng Bảo Toàn,Cảng Tổng Hợp Thị Vải,7
2026-01-14 22:14:53|SỬA|Cái Sắn (CT) → XM Con Gà|132 km|Chỉnh lại|Cũ: 250,Cái Sắn(CT),XM Con Gà,132
2026-01-14 22:15:53|SỬA|Cái Sắn (CT) → XM Cá Sấu|143 km|Chỉnh lại|Cũ: 234,Cái Sắn(CT),XM Cá Sấu,143
2026-01-14 22:17:14|SỬA|Cảng SITV (Thị Vải) → Cảng Tuệ Minh (Thường Tân)|126 km|Chỉnh lại|Cũ: 303,Cảng SITV(Thị Vải),Cảng Tuệ Minh (Thường Tân),126
2026-01-14 22:18:07|SỬA|Cảng TMN (Phú Mỹ) → Cảng An Sơn|100 km|Chỉnh lại|Cũ: 276,Cảng TMN (Phú Mỹ),C.An Sơn,100
2026-01-14 22:19:16|SỬA|Cảng Thường Tân (BD) → XM Kiên Lương|414 km|Chỉnh lại|Cũ: 265,Cảng Thường Tân (BD),Nhà máy xi măng Kiên Lương,414
2026-01-14 22:20:40|SỬA|BMT Cần Thơ (Thốt Nốt) → XM Kiên Lương|136 km|Chỉnh lại|Cũ: 288,BMT - Cần Thơ (Thốt Nốt),Nhà máy xi măng Kiên Lương,136
2026-01-14 22:21:08|SỬA|Cảng An Ngãi (BRVT) → Cảng Hoàng Sơn Lâm (VC)|311 km|Chỉnh lại|Cũ: 113,Cảng An Ngãi (BRVT),Cảng Hoàng Sơn Lâm (VC-ĐT),311
2026-01-14 22:21:53|SỬA|Cảng Long Tân (ĐN) → Cảng Tổng Hợp (Thị Vải)|66 km|Chỉnh lại|Cũ: 182,Cảng Long Tân (ĐN),Cảng Tổng Hợp Thị Vải,66
2026-01-14 22:22:23|SỬA|Cảng Hiệp Phước → Cảng Tổng Hợp (Thị Vải)|50 km|Chỉnh lại|Cũ: 167,Cảng Hiệp Phước,Cảng Tổng Hợp Thị Vải,50
2026-01-14 22:23:02|SỬA|Cảng Tân Thuận 1 → Cảng Tổng Hợp (Thị Vải)|64 km|Chỉnh lại|Cũ: 160,Cảng Tân Thuận 1,Cảng Tổng Hợp Thị Vải,64
2026-01-14 22:23:48|SỬA|Insee Hiệp Phước → XM Kiên Lương|322 km|Chỉnh lại|Cũ: 273,Insee Hiệp Phước,Nhà máy xi măng Kiên Lương,322
2026-01-14 22:24:23|SỬA|Cảng Lotus → Cảng Tổng Hợp (Thị Vải)|64 km|Chỉnh lại|Cũ: 155,Cảng Lotus,Cảng Tổng Hợp Thị Vải,64
2026-01-14 22:26:31|SỬA|Cảng An Ngãi (BRVT) → BMT Cần Thơ (Thốt Nốt)|309 km|Chỉnh lại|Cũ: 287,Cảng An Ngãi (BRVT),BMT - Cần Thơ (Thốt Nốt),309
2026-01-14 22:26:53|SỬA|Vĩnh Xương (AG) → Cảng Sotrans (Thủ Đức)|277 km|Chỉnh lại|Cũ: 147,Vĩnh Xương (AG),Cảng Sotrans Thủ Đức,277
2026-01-14 22:27:52|SỬA|Cảng Cái Cui (CT) → Cảng Tổng Hợp (Thị Vải)|240 km|Chỉnh lại|Cũ: 185,Cảng Cái Cui (CT),Cảng Tổng Hợp Thị Vải,240
2026-01-14 22:29:00|SỬA|Cảng Hoàng Sơn Lâm (VC) → Cái Sắn( CT)|2 km|Chỉnh lại|Cũ: 242,Cảng Hoàng Sơn Lâm (VC),Cái Sắn(CT),2
2026-01-14 22:29:51|SỬA|Cảng Thành Tây Hạ (ĐN) → Cảng Phan Vũ (LA)|155 km|Chỉnh lại|Cũ: 306,Cảng Thành Tây Hạ (ĐN),Cảng Phan Vũ (Long An),155
2026-01-14 22:31:13|SỬA|Vĩnh Xương (AG) → XM Kiên Lương|217 km|Chỉnh lại|Cũ: 241,Vĩnh Xương (AG),XMKL,217
2026-01-14 22:31:57|SỬA|Cảng Hoàng Sơn Lâm (VC) → Cái Sắn (CT)|2 km|Chỉnh lại|Cũ: 242,Cảng Hoàng Sơn Lâm (VC),Cái Sắn( CT),2
2026-01-14 22:32:48|SỬA|TN Long An → Cái Sắn (CT)|174 km|Chỉnh lại|Cũ: 237,TN Long An,Cái Sắn(CT),174
2026-01-14 22:35:47|SỬA|TN Phú Hữu → Cảng SITV (Thị Vải)|60 km|Chỉnh lại|Cũ: 302,TN Phú Hữu,Cảng SITV(Thị Vải),60
2026-01-14 22:37:55|SỬA|Vĩnh Xương (AG) → Cảng Long Hậu (LA)|246 km|Chỉnh lại|Cũ: 143,Vĩnh Xương (AG),Cảng Long Hậu (Long An),246
2026-01-14 22:38:32|SỬA|Cảng Long Hậu (LA) → Phao HL4 (NB)|9 km|Chỉnh lại|Cũ: 15,Cảng Long Hậu (Long An),Phao HL4 (NB),9
2026-01-14 22:38:59|SỬA|Cảng Long Hậu (LA) → Cảng Long Thuận (ĐN)|16 km|Chỉnh lại|Cũ: 16,Cảng Long Hậu (Long An),Cảng Long Thuận (ĐN),16
2026-01-14 22:39:19|SỬA|Cảng Long Hậu (LA) → Cảng Lotus|28 km|Chỉnh lại|Cũ: 17,Cảng Long Hậu (Long An),Cảng Lotus,28
2026-01-14 22:39:44|SỬA|Cảng Long Hậu (LA) → Phao Thiềng Liềng|42 km|Chỉnh lại|Cũ: 18,Cảng Long Hậu (Long An),Phao Thiềng Liềng,42
2026-01-14 22:40:05|SỬA|Cảng Long Hậu (LA) → Phao Gò Gia|44 km|Chỉnh lại|Cũ: 19,Cảng Long Hậu (Long An),Phao Gò Gia,44
2026-01-14 22:40:23|SỬA|Cảng Long Hậu (LA) → Cảng Tổng Hợp (Thị Vải)|54 km|Chỉnh lại|Cũ: 20,Cảng Long Hậu (Long An),Cảng Tổng Hợp (Thị Vải),54
2026-01-14 22:40:40|SỬA|Cảng Long Hậu (LA) → Tân Uyên (BD)|74 km|Chỉnh lại|Cũ: 21,Cảng Long Hậu (Long An),Tân Uyên (BD),74
2026-01-14 22:41:00|SỬA|Cảng Long Hậu (LA) → Cảng An Ngãi (BRVT)|84 km|Chỉnh lại|Cũ: 22,Cảng Long Hậu (Long An),Cảng An Ngãi (BRVT),84
2026-01-14 22:41:27|SỬA|Cảng Long Hậu (LA) → Vĩnh Xương (AG)|246 km|Chỉnh lại|Cũ: 23,Cảng Long Hậu (Long An),Vĩnh Xương (AG),246
2026-01-14 22:42:09|SỬA|Cảng Phan Vũ (LA) → Fico Tây Ninh|85 km|Chỉnh lại|Cũ: 68,Cảng Phan Vũ (Long An),Fico Tây Ninh,85
2026-01-14 22:42:37|SỬA|Cảng Phan Vũ (LA) → Tân Uyên (BD)|170 km|Chỉnh lại|Cũ: 69,Cảng Phan Vũ (Long An),Tân Uyên (BD),170
2026-01-14 22:43:12|SỬA|Cảng Ngọc Bích (LA) → Cảng An Ngãi (BRVT)|159 km|Chỉnh lại|Cũ: 70,Cảng Ngọc Bích (Long An),Cảng An Ngãi (BRVT),159
2026-01-14 22:44:06|SỬA|Cảng An Ngãi (BRVT) → DC Bình Đức (Long An)|166 km|Chỉnh lại|Cũ: 106,Cảng An Ngãi (BRVT),DC (Bình Đức-Long An),166
